Determinand,DWI_Code,Units,n_results,n_detects,max_detect,median_detect,max_detect_ugL,median_detect_ugL,PCV_ugL_individual,PCV_ugL_total
Pesticides (Total by Calculation),B010,μg/l ,45,45,0.037,0.0,0.037,0.0,,0.5
Pesticides 2 4-D (Total),P020,μg/l ,2,1,0.016,0.016,0.016,0.016,0.1,
Pesticides 2 4-DB (Total),P082,μg/l ,2,0,,,,,0.1,
Pesticides Aldrin,P002,μg/l ,30,0,,,,,0.03,
Pesticides Atrazine (Total),P004,μg/l ,11,2,0.004,0.004,0.004,0.004,0.1,
Pesticides Benazolin (Total),P138,μg/l ,2,0,,,,,0.1,
Pesticides Bentazone (Total),P006,μg/l ,7,0,,,,,0.1,
Pesticides Bromacil,P086,μg/l ,5,0,,,,,0.1,
Pesticides Carbetamide,P010,μg/l ,5,0,,,,,0.1,
Pesticides Chlorfenvinphos (Total),P013,μg/l ,2,0,,,,,0.1,
Pesticides Chloridazon,P162,μg/l ,2,0,,,,,0.1,
Pesticides Chlormequat,P163,μg/l ,2,0,,,,,0.1,
Pesticides Chlorothalonil,P015,μg/l ,1,0,,,,,0.1,
Pesticides Chlortoluron (Total),P014,μg/l ,2,0,,,,,0.1,
Pesticides Clopyralid (Total),P018,μg/l ,14,0,,,,,0.1,
Pesticides Cyanazine,P092,μg/l ,2,0,,,,,0.1,
Pesticides Dichlorprop (Total),P026,μg/l ,2,0,,,,,0.1,
Pesticides Dieldrin (Total),P028,μg/l ,29,0,,,,,0.03,
Pesticides Fluroxypyr,P040,μg/l ,2,0,,,,,0.1,
Pesticides Glyphosate,P042,μg/l ,2,0,,,,,0.1,
Pesticides Heptachlor (Total),P043,μg/l ,30,0,,,,,0.03,
"Pesticides Heptachlor Epoxide - Total (Trans, CIS) (Heptachlor Epoxide)",P044,μg/l ,30,0,,,,,0.03,
Pesticides Isoproturon (Total),P048,μg/l ,5,0,,,,,0.1,
Pesticides Linuron (Total),P051,μg/l ,24,0,,,,,0.1,
Pesticides MCPA (Total) 4-chloro-o-tolyloxyacetic acid,P054,μg/l ,2,0,,,,,0.1,
Pesticides MCPB (Total),P055,μg/l ,2,0,,,,,0.1,
Pesticides MCPP(Mecoprop) (Total),P053,μg/l ,7,0,,,,,0.1,
Pesticides Metaldehyde,P226,μg/l ,18,17,0.037,0.024,0.037,0.024,0.1,
Pesticides Metamitron,P194,μg/l ,2,0,,,,,0.1,
Pesticides Metazachlor,P203,μg/l ,2,0,,,,,0.1,
Pesticides Monuron,P113,μg/l ,24,0,,,,,0.1,
Pesticides Pirimicarb,P064,μg/l ,2,0,,,,,0.1,
Pesticides Prometryne,P070,μg/l ,2,0,,,,,0.1,
Pesticides Propazine,P066,μg/l ,2,0,,,,,0.1,
Pesticides Propyzamide (Total),P071,μg/l ,5,4,0.024,0.015,0.024,0.015,0.1,
Pesticides Quinmerac,P244,μg/l ,2,0,,,,,0.1,
Pesticides Simazine (Total),P073,μg/l ,5,0,,,,,0.1,
Pesticides Terbutryn,P077,μg/l ,2,0,,,,,0.1,
Pesticides Triclopyr (Total),P131,μg/l ,2,0,,,,,0.1,
Pesticides Trietazine,P132,μg/l ,24,0,,,,,0.1,
