Year,BOD_avg_load_kg_d_historical,TSS_avg_load_kg_d_historical,TP_avg_load_kg_d_historical,BOD_avg_load_kg_d_projected,TSS_avg_load_kg_d_projected,TP_avg_load_kg_d_projected
2014,5640.827823529411,6325.96105882353,180.60510083333335,,,
2015,5413.342439999999,6346.8693,183.36996181818182,,,
2016,5944.957921568627,6446.415615384616,196.52062666666666,,,
2017,5536.302745098039,6152.563557692308,184.03323250000003,,,
2018,,,,5806.43044652701,6514.702759448784,189.34012325631556
2019,,,,5875.636023861082,6592.350079911771,191.59682686503533
2020,,,,5945.66644736842,6670.922861842105,193.88042763157895
2021,,,,6016.5315482105525,6750.432135613049,196.19124613730065
2022,,,,6088.241274724478,6830.889063066475,198.52960678449386
2023,,,,6160.805693819251,6912.304939079812,200.89583784193215
2024,,,,6234.234992389223,6994.691193151678,203.29027149095296
2025,,,,6308.539478744113,7078.059391006378,205.71324387209066
2026,,,,6383.729584056132,7162.421236217569,208.16509513226518
2027,,,,6459.81586382436,7247.788571851245,210.64616947253347
2028,,,,6536.808999356565,7334.173382128321,213.15681519640972
2029,,,,6614.71979926869,7421.587794107022,215.69738475876164
2030,,,,6693.559201002215,7510.044079385337,218.26823481528965
2031,,,,6773.338272359598,7599.554655823751,220.86972627259559
2032,,,,6854.068213058017,7690.132089288524,223.5022243388484
2033,,,,6935.760356301637,7781.789095415727,226.1660985750534
2034,,,,7018.42617037261,7874.538541396322,228.86172294693296
2035,,,,7102.077260241037,7968.393447782518,231.58947587742514
2036,,,,7186.725369194131,8063.366990315639,234.34974029980864
2037,,,,7272.382380484776,8159.472501775795,237.14290371146012
